signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp1.nonzero_mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp2.nonzero_mean	signif_label
SBS10b	PHC-DCC	PHC	DCC	0.470702992511409	0	0	0	0	0.000604050276419354	8.05400368559138e-06	0.000604050276419354	0	0	0	0	0	0		""
SBS10c	PHC-DCC	PHC	DCC	0.855374865955154	0	0	0.00285851964428235	0.0247257497511557	0.316748846956216	0.0281063046586347	0.0430198540693389	0	0	0.00266551498133115	0.0132300484161275	0.182515636060985	0.0203227246610318	0.028732127969045	""
SBS10d	PHC-DCC	PHC	DCC	0.60262282711134	0	0	0	0.00063890528401444	0.0304933366211359	0.00139421103346383	0.00348552758365959	0	0	0	0.000679905442635417	0.0369138107250897	0.0021880322860166	0.00472154335403583	""
SBS12	PHC-DCC	PHC	DCC	0.0359909922612262	0	0	0.0026335331732213	0.0245509722018836	0.221163203726115	0.0241442509408833	0.0341663928408726	0	0	8.34565418071841e-05	0.00717923961372151	0.101802619039686	0.0102617466186949	0.0191241641530223	*
SBS13	PHC-DCC	PHC	DCC	0.0102317387831842	0	0	0.0103983729317271	0.0321327802073898	0.40610129782917	0.0419299736337589	0.0628949604506383	0	0.00408854910632896	0.0276521891917322	0.0641493531306599	0.503674107046648	0.0594783941391162	0.0641740568343096	*
SBS15	PHC-DCC	PHC	DCC	0.967972584736071	0	0	0	0	0.473864317715455	0.0281146635595419	0.131787485435353	0	0	0	0	0.203270336296369	0.0176917315150055	0.0805956657905805	""
SBS16	PHC-DCC	PHC	DCC	0.553302284917495	0	0	0.000425218857312624	0.0143242657431534	0.435644056178178	0.0291688811773013	0.0497196838249454	0	0	0.00134957894745961	0.0112506050639259	0.252686483423765	0.0226044638949344	0.0319580351618038	""
SBS17a	PHC-DCC	PHC	DCC	0.269099016771081	0	0	0.00013712863885209	0.0203797371115149	0.126508591938264	0.0139083796780344	0.02674688399622	0	0	0	0.00762736141974149	0.0536323860002346	0.00689492924931846	0.014878531538003	""
SBS17b	PHC-DCC	PHC	DCC	0.0138804419427536	0	0	0	0.00285921056853304	0.272316342035599	0.012206769612333	0.0398046835184771	0	0	0.00130091625970587	0.0242428721067768	0.230806765449114	0.026261623920046	0.0489421173055402	*
SBS18	PHC-DCC	PHC	DCC	0.321072705657768	0	0	0.000289117828978944	0.00839131308366654	0.167084475121764	0.0122530846316389	0.0229745336843229	0	0	0.000734364614859631	0.0150131479396417	0.135978069702496	0.0114550108910927	0.0161950153977518	""
SBS20	PHC-DCC	PHC	DCC	0.374967069296176	0	0	0	0	0.184890748107889	0.00849962837626629	0.0455337234442837	0	0	0	0	0.347563049525294	0.00938965261861288	0.0769951514726257	""
SBS21	PHC-DCC	PHC	DCC	0.850982569916205	0	0	0	0	0.35993808573321	0.00587852656645001	0.0440889492483751	0	0	0	0	0.0145322485113832	0.000530174594762366	0.00362285973087617	""
